file|string|en|es|zh|es_php|zh_php
tool_iomadmerge|choose_users|Choose users to merge|Seleccione los usuarios que desea fusionar.|选择要合并的用户|$string['choose_users'] = 'Seleccione los usuarios que desea fusionar.';|$string['choose_users'] = '选择要合并的用户';
tool_iomadmerge|clear_selection|Clear current user selection|Borrar la selección actual del usuario|清除当前用户选择|$string['clear_selection'] = 'Borrar la selección actual del usuario';|$string['clear_selection'] = '清除当前用户选择';
tool_iomadmerge|cligathering:description|Introduce pairs of user's id to merge the first one into the \n second one. The first user id (fromid) will 'lose' all its data to be 'migrated' \n into the second one (toid). The user 'toid' will include data from both users.|Introduce pares de ID de usuario para fusionar el primero con el segundo. El primer ID de usuario (fromid) perderá todos sus datos para ser migrados al segundo (toid). El usuario 'toid' incluirá datos de ambos usuarios.|引入成对的用户 ID，将第一个 ID 合并到第二个 ID 中（换行符为 \n）。第一个用户 ID（fromid）的所有数据将被“丢失”，并“迁移”到第二个用户 ID（toid）中（换行符为 \n）。用户 ID 'toid' 将包含来自两个用户的数据。|$string['cligathering:description'] = 'Introduce pares de ID de usuario para fusionar el primero con el segundo. El primer ID de usuario (fromid) perderá todos sus datos para ser migrados al segundo (toid). El usuario 'toid' incluirá datos de ambos usuarios.';|$string['cligathering:description'] = '引入成对的用户 ID，将第一个 ID 合并到第二个 ID 中（换行符为 \n）。第一个用户 ID（fromid）的所有数据将被“丢失”，并“迁移”到第二个用户 ID（toid）中（换行符为 \n）。用户 ID 'toid' 将包含来自两个用户的数据。';
tool_iomadmerge|cligathering:fromid|Source user id (fromid):|ID de usuario de origen (fromid):|源用户 ID（fromid）：|$string['cligathering:fromid'] = 'ID de usuario de origen (fromid):';|$string['cligathering:fromid'] = '源用户 ID（fromid）：';
tool_iomadmerge|cligathering:stopping|To stop merging, Ctrl+C or type -1 either on fromid or toid fields.|Para detener la fusión, pulse Ctrl+C o escriba -1 en los campos fromid o toid.|要停止合并，请在 fromid 或 toid 字段中按 Ctrl+C 或键入 -1。|$string['cligathering:stopping'] = 'Para detener la fusión, pulse Ctrl+C o escriba -1 en los campos fromid o toid.';|$string['cligathering:stopping'] = '要停止合并，请在 fromid 或 toid 字段中按 Ctrl+C 或键入 -1。';
tool_iomadmerge|cligathering:toid|Target user id   (toid):|ID de usuario objetivo (toid):|目标用户 ID（toid）：|$string['cligathering:toid'] = 'ID de usuario objetivo (toid):';|$string['cligathering:toid'] = '目标用户 ID（toid）：';
tool_iomadmerge|dbko_no_transactions|<strong>Merge failed!</strong> <br/>Your database engine does not support transactions. Therefore, your database <strong>has been updated</strong>. Your database status may be inconsistent. <br/>But, take a look at the merging log and, please, inform about the error to plugin developers. You will get a solution in short time. After updating the plugin to its last version, which will include the solution to that problem, repeat the merging action to complete it with success.|<strong>¡Error al fusionar!</strong> <br/>Su motor de base de datos no admite transacciones. Por lo tanto, su base de datos <strong>se ha actualizado</strong>. El estado de su base de datos puede ser inconsistente. <br/>Pero, revise el registro de fusión e informe del error a los desarrolladores del complemento. Recibirá una solución en breve. Después de actualizar el complemento a su última versión, que incluirá la solución a este problema, repita la acción de fusión para completarla con éxito.|<strong>合并失败！</strong> <br/>您的数据库引擎不支持事务。因此，您的数据库<strong>已更新</strong>。您的数据库状态可能不一致。<br/>请查看合并日志，并将错误告知插件开发者。您将很快获得解决方案。将插件更新到包含此问题解决方案的最新版本后，请重复合并操作以成功完成合并。|$string['dbko_no_transactions'] = '<strong>¡Error al fusionar!</strong> <br/>Su motor de base de datos no admite transacciones. Por lo tanto, su base de datos <strong>se ha actualizado</strong>. El estado de su base de datos puede ser inconsistente. <br/>Pero, revise el registro de fusión e informe del error a los desarrolladores del complemento. Recibirá una solución en breve. Después de actualizar el complemento a su última versión, que incluirá la solución a este problema, repita la acción de fusión para completarla con éxito.';|$string['dbko_no_transactions'] = '<strong>合并失败！</strong> <br/>您的数据库引擎不支持事务。因此，您的数据库<strong>已更新</strong>。您的数据库状态可能不一致。<br/>请查看合并日志，并将错误告知插件开发者。您将很快获得解决方案。将插件更新到包含此问题解决方案的最新版本后，请重复合并操作以成功完成合并。';
tool_iomadmerge|dbko_transactions|<strong>Merge failed!</strong> <br/>Your database engine supports transactions. Therefore, the whole current transaction has been rolled back and <strong>no modification has been made to your database</strong>.|<strong>¡Error al combinar!</strong> <br/>Su motor de base de datos admite transacciones. Por lo tanto, toda la transacción actual se ha revertido y <strong>no se ha realizado ninguna modificación en su base de datos</strong>.|<strong>合并失败！</strong> <br/>您的数据库引擎支持事务。因此，当前整个事务已被回滚，<strong>您的数据库未做任何修改</strong>。|$string['dbko_transactions'] = '<strong>¡Error al combinar!</strong> <br/>Su motor de base de datos admite transacciones. Por lo tanto, toda la transacción actual se ha revertido y <strong>no se ha realizado ninguna modificación en su base de datos</strong>.';|$string['dbko_transactions'] = '<strong>合并失败！</strong> <br/>您的数据库引擎支持事务。因此，当前整个事务已被回滚，<strong>您的数据库未做任何修改</strong>。';
tool_iomadmerge|dbok|Merge successful|Fusión exitosa|合并成功|$string['dbok'] = 'Fusión exitosa';|$string['dbok'] = '合并成功';
tool_iomadmerge|deleted|User with ID {$a} was deleted|El usuario con ID {$a} fue eliminado.|用户 ID 为 {$a} 的用户已被删除|$string['deleted'] = 'El usuario con ID {$a} fue eliminado.';|$string['deleted'] = '用户 ID 为 {$a} 的用户已被删除';
tool_iomadmerge|error_return|Return to search form|Volver al formulario de búsqueda|返回搜索表单|$string['error_return'] = 'Volver al formulario de búsqueda';|$string['error_return'] = '返回搜索表单';
tool_iomadmerge|errorsameuser|Trying to merge the same user|Intentando fusionar el mismo usuario|尝试合并同一个用户|$string['errorsameuser'] = 'Intentando fusionar el mismo usuario';|$string['errorsameuser'] = '尝试合并同一个用户';
tool_iomadmerge|errortransactionsonly|Error: transactions are required, but your database type {$a} does not support them. If needed, you can allow merging users without transactions. Please, review plugin settings to set up them accordingly.|Error: Se requieren transacciones, pero su tipo de base de datos {$a} no las admite. Si es necesario, puede permitir la fusión de usuarios sin transacciones. Por favor, revise la configuración del plugin para ajustarla correctamente.|错误：需要事务，但您的数据库类型 {$a} 不支持事务。如有需要，您可以允许在不使用事务的情况下合并用户。请查看插件设置并进行相应配置。|$string['errortransactionsonly'] = 'Error: Se requieren transacciones, pero su tipo de base de datos {$a} no las admite. Si es necesario, puede permitir la fusión de usuarios sin transacciones. Por favor, revise la configuración del plugin para ajustarla correctamente.';|$string['errortransactionsonly'] = '错误：需要事务，但您的数据库类型 {$a} 不支持事务。如有需要，您可以允许在不使用事务的情况下合并用户。请查看插件设置并进行相应配置。';
tool_iomadmerge|eventusermergedfailure|Merge failed|Falló la fusión|合并失败|$string['eventusermergedfailure'] = 'Falló la fusión';|$string['eventusermergedfailure'] = '合并失败';
tool_iomadmerge|eventusermergedsuccess|Merging success|Fusionando el éxito|合并成功|$string['eventusermergedsuccess'] = 'Fusionando el éxito';|$string['eventusermergedsuccess'] = '合并成功';
tool_iomadmerge|excluded_exceptions|Exclude exceptions|Excluir excepciones|排除例外情况|$string['excluded_exceptions'] = 'Excluir excepciones';|$string['excluded_exceptions'] = '排除例外情况';
tool_iomadmerge|excluded_exceptions_desc|Experience on this subject suggests that all these database tables should be excluded from merging. See README for more details. <br> Therefore, for applying default plugin behaviour, you need to choose '{$a}' to exclude all those tables from the merging process (recommended).<br> If you prefer, you can exclude any of those tables and include them in the merging process (not recommended).|La experiencia en este tema sugiere que todas estas tablas de la base de datos deben excluirse de la fusión. Consulte el archivo README para obtener más detalles. <br> Por lo tanto, para aplicar el comportamiento predeterminado del complemento, debe seleccionar '{$a}' para excluir todas esas tablas del proceso de fusión (recomendado).<br> Si lo prefiere, puede excluir cualquiera de esas tablas e incluirlas en el proceso de fusión (no recomendado).|根据经验，所有这些数据库表都应该从合并中排除。更多详情请参阅 README 文件。<br> 因此，要应用插件的默认行为，您需要选择“{$a}”以将所有这些表从合并过程中排除（推荐）。<br> 如果您愿意，也可以排除其中任何表并将其包含在合并过程中（不推荐）。|$string['excluded_exceptions_desc'] = 'La experiencia en este tema sugiere que todas estas tablas de la base de datos deben excluirse de la fusión. Consulte el archivo README para obtener más detalles. <br> Por lo tanto, para aplicar el comportamiento predeterminado del complemento, debe seleccionar '{$a}' para excluir todas esas tablas del proceso de fusión (recomendado).<br> Si lo prefiere, puede excluir cualquiera de esas tablas e incluirlas en el proceso de fusión (no recomendado).';|$string['excluded_exceptions_desc'] = '根据经验，所有这些数据库表都应该从合并中排除。更多详情请参阅 README 文件。<br> 因此，要应用插件的默认行为，您需要选择“{$a}”以将所有这些表从合并过程中排除（推荐）。<br> 如果您愿意，也可以排除其中任何表并将其包含在合并过程中（不推荐）。';
tool_iomadmerge|exportlogs|Export logs as CSV|Exportar registros como CSV|以 CSV 格式导出日志|$string['exportlogs'] = 'Exportar registros como CSV';|$string['exportlogs'] = '以 CSV 格式导出日志';
